# bank	id	variant_hash	step	voice	pitch	instrument	volume	pan	duration_frames	echo	command_delay_frames	scheduler_tick_index	dsp_pitch	volume_left	volume_right	adsr1	adsr2	gain	sample_offset
1	09	0bb4026d	0	7	127	0	50	0	4	0	2	4	4818	50	50	246	106	184	0
1	09	0bb4026d	1	7	37	10	19	-67	1	1	11	0	1194	19	9	138	233	184	0
1	09	3337b772	0	7	127	0	50	0	1	0	2	2	4818	50	50	246	106	184	0
1	09	43e86df6	0	6	127	0	50	0	4	0	2	5	4818	50	50	246	106	184	0
1	09	48683acb	0	6	127	0	50	0	4	1	2	3	4818	50	50	246	106	184	0
1	09	7171c80d	0	5	127	0	50	0	4	0	2	3	4818	50	50	246	106	184	0
1	09	8f64e1a4	0	4	127	0	50	0	4	0	2	1	4818	50	50	246	106	184	0
1	09	f1cab6da	0	7	127	0	50	0	4	1	2	3	4818	50	50	246	106	184	0
1	0b	512b0b72	0	7	42	20	50	0	2	1	2	2	1350	50	50	254	106	184	0
1	0b	512b0b72	1	7	45	20	50	0	6	1	5	5	1430	50	50	254	106	184	0
1	0b	75e2d925	0	7	42	20	50	0	2	0	2	1	1350	50	50	254	106	184	0
1	0b	75e2d925	1	7	45	20	50	0	5	0	5	4	1430	50	50	254	106	184	0
1	0b	f0330277	0	7	42	20	50	0	2	1	2	1	1350	50	50	254	106	184	0
1	0b	f0330277	1	7	45	20	50	0	5	1	5	3	1430	50	50	254	106	184	0
1	0d	78aff024	0	7	127	0	75	0	2	1	2	4	4818	75	75	246	106	184	0
1	0d	78aff024	1	7	127	0	31	0	1	1	5	6	4050	31	31	246	106	184	0
1	17	bb5aadc1	0	7	42	1	63	0	1	1	2	2	1350	63	63	254	252	184	0
1	17	be3dddf0	0	6	42	1	63	0	1	1	2	4	1350	63	63	254	252	184	0
1	18	0d9afde3	0	6	53	1	75	0	1	1	2	5	1701	75	75	254	252	184	0
1	18	a445d31e	0	7	53	1	75	0	1	1	2	5	1701	75	75	254	252	184	0
1	1c	5f163812	0	4	113	16	63	0	1	1	2	3	3606	63	63	142	224	184	0
1	1c	76e1f8fe	0	7	113	16	63	0	1	0	2	3	3606	63	63	142	224	184	0
1	1c	98afbed4	0	5	113	16	63	0	1	0	2	4	3606	63	63	142	224	184	0
1	1c	a53d95b8	0	6	113	16	63	0	1	1	2	5	3606	63	63	142	224	184	0
1	1c	bd418693	0	5	113	16	63	0	1	1	2	2	3606	63	63	142	224	184	0
1	1c	5efaf534	0	4	113	16	63	0	1	0	2	3	3606	63	63	142	224	184	0
1	1d	29a34439	0	7	14	21	75	0	1	0	2	3	448	75	75	255	224	184	0
1	1d	4937959d	0	3	14	21	75	0	1	0	2	1	448	75	75	255	224	184	0
1	1d	622e926a	0	5	14	21	75	0	1	0	2	5	448	75	75	255	224	184	0
1	1d	6baebddf	0	4	14	21	75	0	1	0	2	6	448	75	75	255	224	184	0
1	1d	ff4eb4de	0	4	14	21	75	0	1	0	2	3	448	75	75	255	224	184	0
1	1d	f31c8f91	0	4	14	21	75	0	0	0	0	0	436	75	75	255	224	184	0
1	1d	f31c8f91	1	4	28	13	50	0	0	0	0	0	885	50	50	249	110	184	0
1	1d	f31c8f91	2	4	14	21	75	0	0	0	0	0	436	75	75	255	224	184	0
1	1e	ac87b841	0	1	100	1	25	0	3	0	2	5	3212	25	25	142	224	184	0
1	1e	ac87b841	1	1	89	1	31	0	1	0	7	0	2860	31	31	142	224	184	0
1	1e	de5103f3	0	1	100	1	25	0	3	0	2	2	3212	25	25	142	224	184	0
1	1e	de5103f3	1	1	89	1	31	0	1	0	6	5	2860	31	31	142	224	184	0
1	1e	bf16140b	0	1	100	1	25	0	3	0	2	5	3212	25	25	142	224	184	0
1	1e	bf16140b	1	1	89	1	31	0	1	0	7	0	2860	31	31	142	224	184	0
1	1f	55456513	0	6	56	20	31	0	3	1	2	2	1802	31	31	254	106	184	0
1	1f	55456513	1	6	38	20	31	0	3	1	6	5	1202	31	31	254	106	184	0
1	1f	55456513	2	6	75	1	56	0	1	1	11	0	2404	56	56	142	224	184	0
1	1f	d6745caf	0	3	56	20	31	0	3	1	2	3	1802	31	31	254	106	184	0
1	1f	d6745caf	1	3	38	20	31	0	1	1	6	6	1202	31	31	254	106	184	0
1	1f	d7d0d48f	0	7	56	20	31	0	3	1	2	3	1802	31	31	254	106	184	0
1	1f	d7d0d48f	1	7	38	20	31	0	4	1	6	6	1202	31	31	254	106	184	0
1	1f	d7d0d48f	2	7	75	1	56	0	1	1	11	1	2404	56	56	142	224	184	0
1	20	71b0e845	0	5	113	13	37	0	1	0	2	5	3606	37	37	249	110	184	0
1	20	c3b0534c	0	7	113	13	37	0	1	1	2	1	3606	37	37	249	110	184	0
1	21	572b18eb	0	5	56	20	37	0	1	1	2	4	1802	37	37	254	106	184	0
1	21	572b18eb	1	5	32	1	37	0	4	1	4	7	1010	37	37	142	224	184	0
1	21	57e3d11c	0	5	56	20	37	0	1	0	2	3	1802	37	37	254	106	184	0
1	21	57e3d11c	1	5	32	1	37	0	3	0	4	4	1010	37	37	142	224	184	0
1	21	e707f98f	0	7	56	20	37	0	1	1	2	5	1802	37	37	254	106	184	0
1	21	e707f98f	1	7	32	1	37	0	4	1	4	6	1010	37	37	142	224	184	0
1	23	7d8b11b9	0	4	63	1	37	0	3	1	2	4	2022	37	37	142	224	184	0
1	23	a0b2278a	0	7	63	1	37	0	3	1	2	4	2022	37	37	142	224	184	0
1	23	efdc1105	0	7	63	1	37	0	3	0	2	3	2022	37	37	142	224	184	0
1	23	fd18ec7f	0	6	63	1	37	0	3	1	2	1	2022	37	37	142	224	184	0
1	24	3d879ff5	0	7	50	16	63	0	1	1	2	1	1605	63	63	142	224	184	0
1	26	46742b8b	0	6	67	23	63	0	1	1	2	2	2142	63	63	142	224	184	0
1	26	977cbc87	0	7	67	23	63	0	1	0	2	3	2142	63	63	142	224	184	0
1	26	af623b2c	0	7	67	23	63	0	1	1	2	3	2142	63	63	142	224	184	0
1	26	bd804218	0	6	67	23	63	0	1	0	2	2	2142	63	63	142	224	184	0
1	28	60146975	0	4	127	16	63	0	1	1	2	6	5412	63	63	142	224	184	0
1	28	d6235a1a	0	4	127	16	63	0	1	0	2	3	5412	63	63	142	224	184	0
1	29	10ef866f	0	7	100	1	37	0	3	0	2	2	3212	37	37	142	224	184	0
1	29	10ef866f	1	7	89	1	12	0	1	0	6	6	2860	12	12	142	224	184	0
1	29	1baff1d2	0	4	100	1	37	0	1	0	2	1	3212	37	37	142	224	184	0
1	29	332d6871	0	6	100	1	37	0	3	0	2	3	3212	37	37	142	224	184	0
1	29	332d6871	1	6	89	1	12	0	1	0	6	7	2860	12	12	142	224	184	0
1	29	4608a12c	0	7	100	1	37	0	3	0	2	5	3212	37	37	142	224	184	0
1	29	4608a12c	1	7	89	1	12	0	1	0	7	0	2860	12	12	142	224	184	0
1	29	6712f7eb	0	5	100	1	37	0	3	0	2	1	3212	37	37	142	224	184	0
1	29	6712f7eb	1	5	89	1	12	0	1	0	6	5	2860	12	12	142	224	184	0
1	29	8319de54	0	5	100	1	37	0	3	0	2	6	3212	37	37	142	224	184	0
1	29	8319de54	1	5	89	1	12	0	1	0	7	0	2860	12	12	142	224	184	0
1	29	a6138c17	0	5	100	1	37	0	1	0	2	3	3212	37	37	142	224	184	0
1	29	e0c4027d	0	5	100	1	37	0	3	0	2	3	3212	37	37	142	224	184	0
1	29	e0c4027d	1	5	89	1	12	0	1	0	6	6	2860	12	12	142	224	184	0
1	29	e4a0abcb	0	4	100	1	37	0	1	0	2	2	3212	37	37	142	224	184	0
1	29	f5cf70ba	0	7	100	1	37	0	3	0	2	5	3212	37	37	142	224	184	0
1	29	f5cf70ba	1	7	89	1	12	0	1	0	6	8	2860	12	12	142	224	184	0
1	29	fdccc21d	0	4	100	1	37	0	3	0	2	6	3212	37	37	142	224	184	0
1	29	fdccc21d	1	4	89	1	12	0	1	0	7	0	2860	12	12	142	224	184	0
1	2b	78dac40b	0	7	127	14	25	0	3	0	2	3	8414	25	25	254	245	184	0	1792
1	2b	78dac40b	1	7	127	14	31	0	4	0	6	7	8414	31	31	254	245	184	0	1728
1	2b	78dac40b	2	7	127	14	12	0	1	0	11	1	8414	12	12	254	245	184	0	1792
1	2b	78dac40b	3	7	127	14	6	0	3	0	15	5	8414	6	6	254	245	184	0	1728
1	2d	9133ddae	0	5	127	15	31	0	1	0	2	3	4812	31	31	254	245	184	0
1	31	cdf1102d	0	4	127	13	50	0	1	1	2	4	4290	50	50	249	110	184	0
1	31	cdf1102d	1	4	127	13	50	0	1	1	4	6	4818	50	50	249	110	184	0
1	31	cdf1102d	2	4	127	13	50	0	1	1	7	0	5412	50	50	249	110	184	0
1	31	cdf1102d	3	4	127	13	50	0	1	1	9	1	6075	50	50	249	110	184	0
1	31	cdf1102d	4	4	127	13	50	0	1	1	11	2	6438	50	50	249	110	184	0
1	36	9433a61f	0	5	9	20	40	0	3	0	4	3	298	40	40	142	224	184	0
1	36	9433a61f	1	5	9	20	49	0	4	0	8	7	282	49	49	142	224	184	0
1	36	aed603d4	0	5	9	20	40	0	3	0	4	4	298	40	40	142	224	184	0
1	36	aed603d4	1	5	9	20	49	0	1	0	9	0	282	49	49	142	224	184	0
1	36	fbb6a453	0	5	9	20	40	0	4	0	4	6	298	40	40	142	224	184	0
1	36	fbb6a453	1	5	9	20	49	0	3	0	9	2	282	49	49	142	224	184	0
1	36	fbbb232e	0	5	9	20	40	0	3	0	4	4	298	40	40	142	224	184	0
1	36	fbbb232e	1	5	9	20	49	0	3	0	9	0	282	49	49	142	224	184	0
1	36	102e5506	0	5	10	10	0	0	0	0	0	0	1265	0	0	138	233	184	0
1	36	102e5506	1	5	9	20	40	0	0	0	0	0	298	40	40	142	224	184	0
1	36	102e5506	2	5	9	20	49	0	0	0	0	0	282	49	49	142	224	184	0
1	36	102e5506	3	5	8	20	63	0	0	0	0	0	266	63	63	142	224	184	0
1	36	102e5506	4	5	9	20	78	0	0	0	0	0	282	78	78	142	224	184	0
1	36	102e5506	5	5	8	20	55	0	0	0	0	0	250	55	55	142	224	184	0
1	36	102e5506	6	5	7	20	58	0	0	0	0	0	224	58	58	142	224	184	0
1	36	102e5506	7	5	8	20	62	0	0	0	0	0	250	62	62	142	224	184	0
1	36	102e5506	8	5	8	20	27	0	0	0	0	0	266	27	27	142	224	184	0
1	36	102e5506	9	5	7	20	43	0	0	0	0	0	224	43	43	142	224	184	0
1	36	102e5506	10	5	8	20	60	0	0	0	0	0	250	60	60	142	224	184	0
1	36	102e5506	11	5	8	20	43	0	0	0	0	0	266	43	43	142	224	184	0
1	36	102e5506	12	5	8	20	49	0	0	0	0	0	250	49	49	142	224	184	0
1	41	d98f000c	0	7	25	1	114	114	6	1	4	7	802	12	114	142	224	184	0
1	41	deaf50c5	0	6	25	1	114	114	5	1	4	4	802	12	114	142	224	184	0
1	45	199cb0b8	0	5	100	5	114	114	2	1	2	5	3213	12	114	254	106	112	0
1	45	642c53b4	0	6	100	5	114	114	2	0	2	3	3213	12	114	254	106	112	0
1	45	80768102	0	7	100	5	114	114	2	1	2	3	3213	12	114	254	106	112	0
1	45	c71d5ce2	0	4	100	5	114	114	2	1	2	3	3213	12	114	254	106	112	0
1	45	c71d5ce2	1	4	23	9	22	-98	1	1	10	1	751	22	5	143	233	184	0
1	47	13c282a9	0	7	19	0	76	114	5	0	2	2	600	8	76	246	106	184	0
1	49	3f8abec4	0	7	127	0	76	114	4	1	2	3	4818	8	76	246	106	184	0
1	49	ad2742fc	0	7	127	0	76	114	1	0	2	5	4818	8	76	246	106	184	0
1	49	fea74731	0	7	127	0	76	114	4	0	2	2	4818	8	76	246	106	184	0
1	4b	0009735e	0	7	42	20	76	114	2	1	2	3	1350	8	76	254	106	184	0
1	4b	0009735e	1	7	45	20	76	114	6	1	5	5	1430	8	76	254	106	184	0
1	4b	3aeef267	0	7	42	20	76	114	2	1	2	5	1350	8	76	254	106	184	0
1	4b	3aeef267	1	7	45	20	76	114	5	1	6	0	1430	8	76	254	106	184	0
1	5d	79ded334	0	7	14	21	114	114	1	1	2	3	448	12	114	255	224	184	0
1	5d	7b973d50	0	6	14	21	114	114	1	1	2	5	448	12	114	255	224	184	0
1	5e	653370dd	0	3	100	1	38	114	3	0	2	4	3212	4	38	142	224	184	0
1	5e	653370dd	1	3	89	1	47	113	1	0	6	7	2860	5	47	142	224	184	0
1	5e	a64716df	0	4	100	1	38	114	3	0	2	5	3212	4	38	142	224	184	0
1	5e	a64716df	1	4	89	1	47	113	1	0	6	8	2860	5	47	142	224	184	0
1	5e	fd0d5683	0	7	100	1	38	114	1	0	2	3	3212	4	38	142	224	184	0
1	5f	b25f5139	0	7	56	20	47	113	1	1	2	3	1802	5	47	254	106	184	0
1	5f	d6d2a9bc	0	7	56	20	47	113	3	1	2	6	1802	5	47	254	106	184	0
1	5f	d6d2a9bc	1	7	38	20	47	113	3	1	7	0	1202	5	47	254	106	184	0
1	5f	d6d2a9bc	2	7	75	1	85	114	1	1	11	4	2404	9	85	142	224	184	0
1	5f	f00ce1cc	0	6	56	20	47	113	3	1	2	3	1802	5	47	254	106	184	0
1	5f	f00ce1cc	1	6	38	20	47	113	4	1	6	6	1202	5	47	254	106	184	0
1	5f	f00ce1cc	2	6	75	1	85	114	1	1	11	1	2404	9	85	142	224	184	0
1	66	ef153173	0	7	67	23	95	114	1	1	2	5	2142	10	95	142	224	184	0
1	68	45b17853	0	7	127	16	95	114	1	1	2	1	5412	10	95	142	224	184	0
1	68	a2a67117	0	4	127	16	95	114	1	0	2	2	5412	10	95	142	224	184	0
1	81	d3b00ccf	0	7	25	1	114	-114	1	1	4	4	802	114	12	142	224	184	0
1	81	f892876f	0	7	25	1	114	-114	6	1	4	7	802	114	12	142	224	184	0
1	82	e65c8600	0	6	17	1	114	-114	6	1	2	3	534	114	12	142	224	184	0
1	82	fb4a3c5a	0	7	17	1	114	-114	6	1	2	5	534	114	12	142	224	184	0
1	82	fb4a3c5a	1	7	63	12	50	0	1	1	12	4	2022	50	50	254	224	184	0
1	85	34426e27	0	7	100	5	114	-114	2	1	2	5	3213	114	12	254	106	112	0
1	85	3e8e6d05	0	5	100	5	114	-114	2	1	2	3	3213	114	12	254	106	112	0
1	85	9c95102a	0	6	100	5	114	-114	2	1	2	3	3213	114	12	254	106	112	0
1	86	51117b44	0	7	127	3	76	-114	1	1	2	6	13923	76	8	254	248	184	0
1	87	53193718	0	7	19	0	76	-114	6	0	2	4	600	76	8	246	106	184	0
1	87	bbf4012e	0	7	19	0	76	-114	1	0	2	3	600	76	8	246	106	184	0
1	89	0361292a	0	7	127	0	76	-114	1	1	2	4	4818	76	8	246	106	184	0
1	89	7f4038f3	0	7	127	0	76	-114	4	1	2	3	4818	76	8	246	106	184	0
1	89	dc013c89	0	7	127	0	76	-114	4	1	2	4	4818	76	8	246	106	184	0
1	89	dc013c89	1	7	63	12	76	-114	1	1	11	3	2022	76	8	254	224	184	0
1	8b	4caa3bfa	0	7	42	20	76	-114	2	1	2	3	1350	76	8	254	106	184	0
1	8b	4caa3bfa	1	7	45	20	76	-114	6	1	5	6	1430	76	8	254	106	184	0
1	8b	5efe1719	0	7	42	20	76	-114	2	1	2	4	1350	76	8	254	106	184	0
1	8b	5efe1719	1	7	45	20	76	-114	1	1	5	7	1430	76	8	254	106	184	0
1	9d	b5e07b17	0	7	14	21	114	-114	1	1	2	4	448	114	12	255	224	184	0
1	9d	fbacfff5	0	5	14	21	114	-114	1	1	2	4	448	114	12	255	224	184	0
1	9f	36a566c8	0	6	56	20	47	-113	3	0	2	4	1802	47	5	254	106	184	0
1	9f	36a566c8	1	6	38	20	47	-113	4	0	6	7	1202	47	5	254	106	184	0
1	9f	36a566c8	2	6	75	1	85	-114	1	0	11	2	2404	85	9	142	224	184	0
1	9f	6b4abf9e	0	7	56	20	47	-113	3	1	2	3	1802	47	5	254	106	184	0
1	9f	6b4abf9e	1	7	38	20	47	-113	4	1	6	5	1202	47	5	254	106	184	0
1	9f	6b4abf9e	2	7	75	1	85	-114	1	1	11	1	2404	85	9	142	224	184	0
1	9f	9dfd519a	0	3	56	20	47	-113	3	1	2	4	1802	47	5	254	106	184	0
1	9f	9dfd519a	1	3	38	20	47	-113	4	1	6	7	1202	47	5	254	106	184	0
1	9f	9dfd519a	2	3	75	1	85	-114	1	1	11	2	2404	85	9	142	224	184	0
1	a1	6729a8b6	0	7	56	20	57	-114	1	1	2	3	1802	57	6	254	106	184	0
1	a1	6729a8b6	1	7	32	1	57	-114	3	1	4	4	1010	57	6	142	224	184	0
1	a3	7fc4583f	0	7	63	1	57	-114	3	1	2	1	2022	57	6	142	224	184	0
2	01	471793de	0	6	95	6	50	0	5	0	2	5	3033	50	50	254	106	112	0
2	01	471793de	1	6	95	6	44	0	1	0	8	5	3033	44	44	254	106	112	0
2	01	830620ac	0	6	95	6	50	0	5	0	2	1	3033	50	50	254	106	112	0
2	01	830620ac	1	6	95	6	44	0	1	0	8	1	3033	44	44	254	106	112	0
2	01	cd1d35fb	0	6	95	6	50	0	5	0	2	3	3033	50	50	254	106	112	0
2	01	cd1d35fb	1	6	95	6	44	0	1	0	8	3	3033	44	44	254	106	112	0
2	01	ed0b9c07	0	6	95	6	50	0	1	0	2	5	3033	50	50	254	106	112	0
2	04	6119fa2b	0	7	8	8	112	0	5	0	1	3	266	112	112	142	224	184	0
2	04	6119fa2b	1	6	8	8	112	0	6	0	2	4	266	112	112	142	224	184	0
2	04	6119fa2b	2	7	12	5	57	-114	1	0	8	0	399	57	6	254	106	112	0
2	04	6119fa2b	3	6	12	5	37	0	1	0	9	1	399	37	37	254	106	112	0
2	04	6119fa2b	4	7	127	5	57	-114	1	0	10	1	4290	57	6	254	106	112	0
2	04	6119fa2b	5	6	127	5	37	0	1	0	11	2	4290	37	37	254	106	112	0
2	04	6119fa2b	6	7	10	5	57	-114	1	0	12	3	336	57	6	254	106	112	0
2	07	353c0de8	0	7	28	12	44	0	1	1	2	5	900	44	44	254	224	184	0
2	07	353c0de8	1	7	33	12	44	0	1	1	4	6	1070	44	44	254	224	184	0
2	07	a2c43280	0	7	28	12	44	0	1	1	2	5	900	44	44	254	224	184	0
2	07	a2c43280	1	7	33	12	44	0	1	1	4	7	1070	44	44	254	224	184	0
2	07	aa50b8e8	0	7	28	12	44	0	1	1	2	2	900	44	44	254	224	184	0
2	07	aa50b8e8	1	7	33	12	44	0	1	1	4	5	1070	44	44	254	224	184	0
2	08	1bc9677c	0	5	38	12	50	0	1	1	2	2	1202	50	50	254	224	184	0
2	08	213d13cf	0	6	67	20	75	0	4	1	2	3	2142	75	75	254	106	184	0
2	08	213d13cf	1	5	38	12	50	0	5	1	2	3	1202	50	50	254	224	184	0
2	08	213d13cf	2	6	89	20	31	0	1	1	7	6	2860	31	31	254	106	184	0
2	08	23f613ae	0	6	67	20	75	0	4	1	2	2	2142	75	75	254	106	184	0
2	08	23f613ae	1	4	38	12	50	0	5	1	2	2	1202	50	50	254	224	184	0
