# track	dsp_cycle	register	value
01	7557166	72	113
01	7558855	50	18
01	7558997	51	18
01	7559304	60	18
01	7559446	61	18
01	7563222	72	104
01	7564766	02	86
01	7565442	12	91
01	7569940	02	92
01	7571204	22	135
01	7572369	72	95
01	7573913	02	95
01	7574589	12	94
01	7575265	22	138
01	7576694	72	92
01	7579094	02	101
01	7579726	12	97
01	7580344	22	141
01	7581509	72	86
01	7586577	02	104
01	7587889	22	144
01	7589866	72	83
01	7590935	50	16
01	7591077	51	16
01	7592902	02	110
01	7593521	12	100
01	7594126	22	147
01	7595291	72	77
01	7596439	02	113
01	7598828	72	74
01	7600359	02	116
01	7601671	22	150
01	7603106	72	71
01	7605493	02	122
01	7606112	12	103
01	7606717	22	153
01	7609369	02	125
01	7612950	02	128
01	7613613	12	106
01	7614262	22	156
01	7615691	72	74
01	7618417	02	134
01	7619641	22	159
01	7620806	72	80
01	7626317	60	16
01	7626459	61	16
01	7627806	02	128
01	7629030	22	156
01	7630195	72	77
01	7631682	02	125
01	7632301	12	103
01	7632906	22	153
01	7634071	72	80
01	7635263	02	122
01	7638025	72	86
01	7640751	02	116
01	7641370	12	100
01	7641975	22	150
01	7643140	72	89
01	7645512	22	147
01	7646677	72	92
01	7648208	02	113
01	7650964	72	95
01	7653351	02	104
01	7653970	12	97
01	7654575	22	144
01	7655740	72	101
01	7658451	22	141
01	7659603	72	104
01	7660808	02	101
01	7665194	50	8
01	7665336	51	8
01	7667174	02	95
01	7667806	12	94
01	7668438	22	138
01	7669590	72	110
01	7670751	02	92
01	7673167	72	116
01	7674711	02	89
01	7675387	12	91
01	7676063	22	135
01	7679900	02	83
01	7680532	12	88
01	7681164	22	132
01	7682316	72	125
01	7683860	02	80
01	7685212	22	129
01	7686643	72	128
01	7689043	02	77
01	7691459	72	131
01	7692620	02	74
01	7693252	12	85
01	7693884	22	126
01	7695036	72	134
01	7696580	02	71
01	7697932	22	123
01	7701119	60	8
01	7701261	61	8
01	7704224	22	126
01	7705376	72	128
01	7706537	02	74
01	7708953	72	122
01	7710158	02	77
01	7710834	12	88
01	7711510	22	129
01	7715662	02	83
01	7716926	22	132
01	7718078	72	116
01	7719239	02	86
01	7719871	12	91
01	7721655	72	113
01	7728358	02	95
01	7728990	12	94
01	7729622	22	138
01	7730774	72	104
01	7734690	72	101
01	7742166	02	104
01	7742785	12	97
01	7743390	22	141
01	7744555	72	92
01	7745747	02	107
01	7747059	22	144
01	7748485	72	89
01	7751211	02	113
01	7751830	12	100
01	7752435	22	147
01	7753600	72	83
01	7754748	02	116
01	7758329	02	119
01	7758992	12	103
01	7759641	22	150
01	7761061	72	80
01	7763787	02	125
01	7765011	22	153
01	7766176	72	74
01	7767663	02	128
01	7768282	12	106
01	7768887	22	156
01	7770052	72	71
01	7777136	02	134
01	7777755	12	109
01	7778360	22	159
01	7781012	02	131
01	7781631	12	106
01	7783401	72	77
01	7785905	22	156
01	7790081	02	122
01	7790700	12	103
01	7791305	22	153
01	7792470	72	86
01	7793618	02	119
01	7794842	22	150
01	7802681	02	113
01	7803300	12	100
01	7803905	22	147
01	7805070	72	95
01	7806710	02	110
01	7807482	12	97
01	7808240	22	144
01	7811301	50	10
01	7811443	51	10
01	7812929	02	104
01	7814153	22	141
01	7815305	72	104
01	7816805	02	98
01	7817437	12	94
01	7819221	72	107
01	7825909	02	92
01	7827173	22	138
01	7828453	42	189
01	7829321	72	116
01	7830482	02	89
01	7831114	12	91
01	7831746	22	135
01	7832393	32	127
01	7839192	72	119
01	7841736	02	242
01	7841772	03	19
01	7842553	12	119
01	7842589	13	7
01	7843370	22	46
01	7843406	23	11
01	7844779	42	192
01	7846406	72	128
01	7848544	60	10
01	7848686	61	10
01	7852342	72	134
01	7855586	42	189
01	7866411	32	124
01	7867088	42	186
01	7889041	32	121
01	7889687	42	183
01	7898442	42	180
01	7911700	42	183
01	7916556	32	124
01	7924768	42	186
01	7940776	32	127
01	7941453	42	189
01	7948426	4d	63
01	7948961	4d	31
01	7954245	42	192
01	7967468	42	189
01	7988854	32	124
01	7989500	42	186
01	7992114	02	238
01	7992150	03	14
01	7992836	12	151
01	7992872	13	5
01	7993544	22	97
01	7993580	23	8
01	8002124	42	183
01	8006452	32	121
01	8011240	42	180
01	8020454	42	183
01	8031485	74	11
01	8031511	75	255
01	8031654	4d	159
01	8034033	32	124
01	8034679	42	186
01	8051359	42	189
01	8053524	32	127
01	8065849	72	238
01	8065885	73	14
01	8067237	70	9
01	8067379	71	19
01	8070616	42	192
01	8081072	42	189
01	8094902	32	124
01	8095535	42	186
01	8109649	42	183
01	8116814	32	121
01	8122931	42	180
01	8132107	42	183
01	8137287	02	242
01	8137323	03	19
01	8137995	12	119
01	8138031	13	7
01	8138703	22	46
01	8138739	23	11
01	8139548	32	124
01	8140379	42	186
01	8210027	72	242
01	8210063	73	19
01	8281951	02	101
01	8281987	03	22
01	8282659	12	97
01	8282695	13	8
01	8283353	22	141
01	8283389	23	12
01	8356462	72	101
01	8356498	73	22
01	8424010	64	19
01	8424036	65	253
01	8424062	66	224
01	8424179	4d	223
01	8426442	42	189
01	8428042	02	242
01	8428078	03	19
01	8428750	12	119
01	8428786	13	7
01	8429458	22	46
01	8429494	23	11
01	8430916	42	186
01	8431893	62	249
01	8431929	63	18
01	8434868	60	16
01	8435010	61	16
01	8460175	54	19
01	8460201	55	253
01	8460227	56	224
01	8460344	4d	255
01	8465547	52	249
01	8465583	53	18
01	8466978	50	16
01	8467120	51	16
01	8502170	72	242
01	8502206	73	19
01	8539816	50	18
01	8539958	51	18
01	8574147	02	238
01	8574183	03	14
01	8574869	12	151
01	8574905	13	5
01	8575577	22	97
01	8575613	23	8
01	8579307	60	18
01	8579449	61	18
01	8647577	72	238
01	8647613	73	14
01	8717175	32	127
01	8717808	42	189
01	8722399	02	242
01	8722435	03	19
01	8723107	12	119
01	8723143	13	7
01	8723815	22	46
01	8723851	23	11
01	8724660	32	244
01	8725491	42	110
01	8725527	43	4
01	8725843	54	2
01	8725869	55	255
01	8726928	52	68
01	8726964	53	4
01	8727280	64	12
01	8727306	65	255
01	8728339	62	47
01	8728375	63	3
01	8731175	50	23
01	8731317	51	23
01	8731624	60	28
01	8731766	61	28
01	8794484	72	242
01	8794520	73	19
01	8867014	02	238
01	8867050	03	14
01	8867736	12	151
01	8867772	13	5
01	8868444	22	97
01	8868480	23	8
01	8940226	72	238
01	8940262	73	14
01	8994027	32	247
01	8994660	42	113
01	9007422	42	116
01	9012093	32	250
01	9014665	02	242
01	9014701	03	19
01	9015373	12	119
01	9015409	13	7
01	9016081	22	46
01	9016117	23	11
01	9021770	32	247
01	9032558	42	113
01	9044491	32	244
01	9045137	42	110
01	9057694	42	107
01	9062889	32	241
01	9070251	42	104
01	9080469	42	107
01	9085179	32	244
01	9089667	72	242
01	9089703	73	19
01	9093870	42	110
01	9105783	32	247
01	9106416	42	113
01	9116826	42	116
01	9124250	32	250
01	9133920	32	247
01	9141672	42	113
01	9153462	32	244
01	9154095	42	110
01	9169727	42	107
01	9176297	32	241
01	9179621	42	104
01	9189600	42	107
01	9197473	32	244
01	9202496	42	110
01	9217046	32	247
01	9217679	42	113
01	9230471	42	116
01	9236686	32	250
01	9249493	32	247
01	9252778	42	113
01	9264940	32	244
01	9265573	42	110
01	9278439	42	107
01	9287642	32	241
01	9293644	42	104
01	9300815	42	107
01	9308219	02	101
01	9308255	03	22
01	9309036	12	97
01	9309072	13	8
01	9309839	22	141
01	9309875	23	12
01	9315906	32	244
01	9316552	42	110
01	9328413	32	247
01	9329046	42	113
01	9341962	42	116
01	9348139	32	250
01	9360931	32	247
01	9364216	42	113
01	9376036	32	244
01	9376669	42	110
01	9383611	72	101
01	9383647	73	22
01	9393360	42	107
01	9396723	32	241
01	9403064	42	104
01	9412958	42	107
01	9419528	32	244
01	9425869	42	110
01	9440554	32	247
01	9441231	42	113
01	9453699	42	116
01	9460040	32	250
01	9469856	32	247
01	9476132	42	113
01	9487967	32	244
01	9491781	42	110
01	9505874	42	107
01	9507906	32	241
01	9518416	42	104
01	9524111	42	107
01	9530651	32	244
01	9536653	42	110
01	9552294	42	113
01	9555983	32	247
01	9568421	32	250
01	9569054	42	116
01	9580859	32	247
01	9589947	42	113
01	9599128	32	244
01	9599888	42	110
01	9603771	02	104
01	9604995	22	144
01	9606831	02	110
01	9610510	12	100
01	9611115	22	147
01	9613334	02	113
01	9617881	02	119
01	9618500	12	103
01	9619105	22	150
01	9621280	02	122
01	9622504	22	153
01	9628931	02	128
01	9629550	12	106
01	9630155	22	156
01	9632330	02	131
01	9635434	02	134
01	9636746	22	159
01	9640320	02	131
01	9643380	02	128
01	9644604	22	156
01	9654612	02	119
01	9655231	12	103
01	9655836	22	150
01	9657672	02	116
01	9658291	12	100
01	9665832	02	107
01	9666451	12	97
01	9667056	22	144
01	9672335	02	104
01	9678960	02	98
01	9679592	12	94
01	9680224	22	141
01	9681376	72	107
01	9682581	02	95
01	9683933	22	138
01	9685255	72	113
01	9687994	02	92
01	9688626	12	91
01	9689258	22	135
01	9690410	72	116
01	9691571	02	86
01	9693987	72	119
01	9695192	02	83
01	9695868	12	88
01	9696544	22	132
01	9697866	72	122
01	9700605	02	80
01	9701869	22	129
01	9703021	72	128
01	9704182	02	77
01	9708142	02	74
01	9708818	12	85
01	9709494	22	126
01	9710816	72	134
01	9713216	02	68
01	9714480	22	123
01	9715632	72	131
01	9720753	02	71
01	9722105	22	126
01	9723609	72	128
01	9726348	02	77
01	9726980	12	88
01	9727612	22	129
01	9728764	72	122
01	9729925	02	80
01	9732341	72	116
01	9733885	02	83
01	9735237	22	132
01	9739129	02	86
01	9739761	12	91
01	9740393	22	135
01	9741545	72	110
01	9742706	02	92
01	9745122	72	107
01	9747342	12	94
01	9748018	22	138
01	9750446	72	104
01	9753805	02	101
01	9754437	12	97
01	9755055	22	141
01	9756220	72	98
01	9757412	02	104
01	9760059	72	95
01	9762785	02	110
01	9764009	22	144
01	9765174	72	89
01	9766322	02	113
01	9766941	12	100
01	9767546	22	147
01	9768711	72	86
01	9772550	72	83
01	9775276	02	119
01	9775895	12	103
01	9776500	22	150
01	9777665	72	77
01	9778813	02	125
01	9780037	22	153
01	9781202	72	74
01	9787767	02	131
01	9788386	12	106
01	9788991	22	156
01	9790156	72	68
01	9791643	02	134
01	9792262	12	109
01	9792867	22	159
01	9794032	72	71
01	9800779	02	128
01	9801398	12	106
01	9802003	22	156
01	9803168	72	77
01	9804316	02	125
01	9804935	12	103
01	9805540	22	153
01	9806705	72	80
01	9810714	72	83
01	9813440	02	119
01	9814664	22	150
01	9815829	72	86
01	9816977	02	116
01	9817596	12	100
01	9818201	22	147
01	9819366	72	92
01	9820992	02	113
01	9828229	02	104
01	9828848	12	97
01	9829453	22	141
01	9830605	72	101
01	9834386	72	104
01	9837125	02	95
01	9837757	12	94
01	9838389	22	138
01	9839541	72	110
01	9843118	72	113
01	9844308	02	92
01	9849691	02	86
01	9850323	12	91
01	9850955	22	132
01	9852107	72	119
01	9853268	02	83
01	9853900	12	88
01	9855684	72	125
01	9862257	02	77
01	9863521	22	129
01	9864673	72	131
01	9866173	02	71
01	9866805	12	85
01	9867437	22	126
01	9868589	72	134
01	9878296	72	128
01	9879486	02	74
01	9882290	72	125
01	9885029	02	77
01	9885661	12	88
01	9886293	22	129
01	9887445	72	119
01	9888606	02	83
01	9889870	22	132
01	9891022	72	116
01	9894513	54	19
01	9894539	55	253
01	9895442	52	249
01	9895478	53	18
01	9896027	64	19
01	9896053	65	253
01	9896956	62	249
01	9896992	63	18
01	9897742	72	113
01	9899431	50	18
01	9899573	51	18
01	9899880	60	18
01	9900022	61	18
01	9904137	72	104
01	9905342	02	86
01	9906018	12	91
01	9910516	02	92
01	9911780	22	135
01	9912945	72	95
01	9914445	02	95
01	9915077	12	94
01	9915709	22	138
01	9916874	72	92
01	9923586	02	101
01	9924205	12	97
01	9924810	22	141
01	9925975	72	86
01	9927123	02	104
01	9929512	72	83
01	9932355	22	144
01	9935401	50	16
01	9935543	51	16
01	9937029	02	113
01	9937648	12	100
01	9938253	22	147
01	9939418	72	74
01	9940949	02	116
01	9942261	22	150
01	9943696	72	71
01	9946083	02	122
01	9946702	12	103
01	9947307	22	153
01	9948472	72	68
01	9949959	02	125
01	9952348	72	71
01	9953540	02	128
01	9954203	12	106
01	9954852	22	156
01	9956281	72	74
01	9959007	02	134
01	9960231	22	159
01	9961396	72	80
01	9963163	12	109
01	9964933	72	83
01	9966788	12	106
01	9970291	60	16
01	9970433	61	16
01	9972119	02	125
01	9972738	12	103
01	9973343	22	153
01	9974508	72	80
01	9975700	02	122
01	9978462	72	86
01	9981188	02	119
01	9982412	22	150
01	9984725	02	116
01	9985344	12	100
01	9985949	22	147
01	9987114	72	92
01	9988645	02	113
01	9991401	72	95
01	9993788	02	104
01	9994407	12	97
01	9995012	22	144
01	9996177	72	101
01	9998888	22	141
01	10001245	02	101
01	10004562	72	104
01	10005631	50	8
01	10005773	51	8
01	10007611	02	95
01	10008243	12	94
01	10008875	22	138
01	10010027	72	110
01	10011188	02	92
01	10013604	72	116
01	10015148	02	89
01	10015824	12	91
01	10016500	22	135
01	10020337	02	83
01	10020969	12	88
01	10021601	22	132
01	10022753	72	125
01	10023914	02	80
01	10025178	22	129
01	10030657	72	128
01	10033396	02	74
01	10034028	12	85
01	10034660	22	126
01	10035812	72	134
01	10037017	02	71
01	10038369	22	123
01	10041556	60	8
01	10041698	61	8
01	10044661	22	126
01	10045813	72	128
01	10046974	02	74
01	10049390	72	122
01	10050595	02	77
01	10051271	12	88
01	10051947	22	129
01	10056099	02	83
01	10057363	22	132
01	10058515	72	116
01	10059676	02	86
01	10060308	12	91
01	10062092	72	113
01	10068795	02	92
01	10069427	12	94
01	10070059	22	138
01	10071211	72	104
01	10072711	02	95
01	10075127	72	101
01	10082603	02	104
01	10083222	12	97
01	10083827	22	141
01	10084992	72	92
01	10086184	02	107
01	10087496	22	144
01	10088922	72	89
01	10091648	02	113
01	10092267	12	100
01	10092872	22	147
01	10094037	72	86
01	10095185	02	116
01	10097574	72	83
01	10099105	02	119
01	10099768	12	103
01	10100417	22	150
01	10101837	72	80
01	10104224	02	125
01	10105448	22	153
01	10106613	72	74
01	10107761	02	128
01	10108380	12	106
01	10108985	22	156
01	10110150	72	71
01	10117573	02	134
01	10118192	12	109
01	10118797	22	159
01	10121449	02	131
01	10122068	12	106
01	10123838	72	77
01	10126342	22	156
01	10130518	02	125
01	10131137	12	103
01	10131742	22	153
01	10132907	72	83
01	10134055	02	119
01	10135279	22	150
01	10136444	72	86
01	10143118	02	113
01	10143737	12	100
01	10144342	22	147
01	10145507	72	95
01	10146994	02	110
01	10147613	12	97
01	10148218	22	144
01	10155275	50	10
01	10155417	51	10
01	10157255	02	101
01	10158505	22	141
01	10159657	72	104
01	10160847	02	98
01	10161508	12	94
01	10163606	72	107
01	10166345	02	92
01	10167609	22	138
01	10168256	32	247
01	10168889	42	113
01	10169757	72	113
01	10170918	02	89
01	10171550	12	91
01	10172182	22	135
01	10174330	72	116
01	10179628	72	119
01	10182028	02	77
01	10182660	12	88
01	10183292	22	129
01	10183939	32	250
01	10184572	42	116
01	10185440	72	128
01	10187084	02	242
01	10187120	03	19
01	10187901	12	119
01	10187937	13	7
01	10188718	22	46
01	10188754	23	11
01	10193892	60	10
01	10194034	61	10
01	10196333	32	247
01	10198071	72	131
01	10201558	42	113
01	10202426	72	125
01	10209374	72	119
01	10212567	32	244
01	10213200	42	110
01	10214068	72	116
01	10217210	72	113
01	10224782	72	110
01	10228605	42	107
01	10229473	72	104
01	10232967	72	101
01	10234741	32	241
01	10236490	72	98
01	10240884	72	95
01	10243497	42	104
01	10244378	72	89
01	10251747	42	107
01	10252628	72	83
01	10254256	32	244
01	10255783	72	80
01	10259878	72	242
01	10259914	73	19
01	10264391	42	110
01	10276393	32	247
01	10277026	42	113
01	10290197	42	116
01	10294969	32	250
01	10297868	50	11
01	10298010	51	11
01	10306046	32	247
01	10310821	42	113
01	10322720	32	244
01	10326344	42	110
01	10330621	02	238
01	10330657	03	14
